CustomerName,CustomerNumber,Inactive,Address1,Address2,Address3,City,State,Zip,Country,Phone,Email,Website,Division,TermsCode,PriceGroupCode,SalesAgentCode,TradeClass,TaxCode,Warehouse,BillingNumber,Currency,TaxExempt,PriceRemark,GeneralRemark,ShippingRemark,SpecialRemark1,SpecialRemark2,SpecialRemark3,SpecialRemark4,SpecialRemark5,SpecialRemark6,SpecialRemark7,SpecialRemark8,SpecialRemark9,SpecialRemark10,CreditOption,CreditLimit,CreateDate,UpdateDate,Truck,RemainingShelfLife,ShelfLifeUnit,ShelfLifeBasis,CustomFields
0001100,0001100,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:11.963-05:00,2025-02-06T14:42:11.963-05:00,,,0,0,{}
"Sentury Reagents, Inc.",0001101,False,2515 Commerce Drive,,,Rock Hill,SC,29730,USA,(803) 327-6880,,,1,AR30,C,0000,,100,,,,,,,,Send invoices to trisha@senturyreagents.com,,,"2/8/18  Trisha said check will be issued today for late pmt.  Wants invoices emailed 
              to her in future.
7/27/18  contacted them about late invoices
3/4/19   contacted trisha@senturyreagents.com
4/23/20  emailed 576216 to Trisha  She said would issue ck tomorrow.
9/5/23 emailed ref 625661

9/5/2023 - invoice/payment questions to Cytozyme.ap@vlsci.com and or ap@vlsci.com
9/6/2023- Trisha asked when terms changed to Net 10, Mark said to change them to Net 30

Send invoices to trisha@senturyreagents.com",,,,,,,,0.0,2024-01-10T15:50:21.81-05:00,2025-01-08T16:26:39.567-05:00,,,0,0,{}
Bridgeport Instruments,0001269,False,11740 Jollyville Rd Ste 500,,,Austin,TX,78759,USA,512-533-9933,brad.hurst@bridgeportinstruments.com,,1,AR03,C,0000,,103,,,,,,,,FedEx # 306785028,,,FedEx # 306785028,,,,,,,,0.0,2024-01-10T15:50:09.247-05:00,2025-01-08T16:26:39.63-05:00,,,0,0,{}
Massachusetts Institute,0001940,True,of Technology,P.O. Box 9169,,Cambridge,MA,02139,USA,(617)258-8120,,,1,AR10,C,0000,,100,,,,,,,,,,,,,,,,,,,1000.0,2024-01-10T15:50:22.523-05:00,2024-01-10T15:50:22.523-05:00,,,0,0,{}
UOP LLC,0002040,False,c/o Honeywell International,P.O. Box 981762,,El Paso,TX,79998-1762,USA,(251) 330-7665,,,1,AR60,C,0000,,100,,,,,,,,"PO number and PO line item number must be on the invoice, correspondence, shipping documents, and BOL 

Schedule truck via TMC portal: https://navisphere.mytmc.com/home.aspx
Username:Lseubert1
Password: Noahtech1!

If the weather between San Antonio and M",,,"6/9/15  AP hours are 7 am to noon mountain time.  Left message re 494347.       
6/16/15  AP said 495975 to be paid 6/25.  494347 on hold due to PO line item issue.
              AP will follow up with buyer to release inv.  Noah can email 
               accountspayable@UOP.com later to check status .    
9/15/16  Sent email to A/P asking for pmt date of 2 invoices.
1/26/18  Sent email to A/P re 540873
2/8/18  Sent email again to A/P re 540873 copied J Hunt, buyer
3/6/18  A/P 480-598-9071 which transferred me to different division, said they will
               investigate non-payment of 540873 and email response by tomorrow.
2/16/18  Emailed Jessie Hunt re 540873
3/6/18  Called A/P 480-598-9071, was transferred to diff division, said they would
               investigate 540873 and reply.
3/7/18  Said payment status resolved, would pay 4/2/18 by check.

9/14/20  emailed accountspayable@UOP.com re 580836.  Responded to submit
               to SUS portal to be processed.
9/24/20  emailed 580836 to PMTUSinvoice981762@honeywell.com
10/20/20  Sent email to Bill Mannaberg intoducing Jamie and asking for pmt.
                 CC'd accountspayable@uop.com
10/21/20  emailed 580836 again to AP with original submission, PO, responses
10/22/20  Erin.Gonsowski@Honeywell.com responded that she is working on 
                 freight charge on PO to get invoice paid.  She will also try to help on 
                 584136
11/9/21 emailed invoice 592452,580836, & 584950 to ap
11/17/21  emailed 580836, 592492 to 
11/17/21  emailed 584950, 592452, 580836 to Paula Mace for help with submitting
                 these old invoices
12/14/21  emailed Paula Mace re 584950, Bill Mannaberg re 592452, Fred Sollberger
                 re 580836.  Paula forwarded her email to AP asking for payment.
5/19/22  Sent final request to Paula Mace for pmt of 592452
PO number and PO line item number must be on the invoice, correspondence, shipping documents, and BOL 

Schedule truck via TMC portal: https://navisphere.mytmc.com/home.aspx
Username:Lseubert1
Password: Noahtech1!

If the weather between San Antonio and Mobile, AL will be cooler than 68 deg F a heated trailer will be required.  If a heated trailer is required, allow more than 48 hours to arrange for the trailer.  Trailer should be heated between 75-80 degrees (freezing point is 68 deg F)

The following must be on the BOL:
Truck delivery hours for common carriers:  Monday - Friday 8 a.m. to 3 p.m. daily
 
Trailer should be heated between 75-80 degrees (put on BOL only if heated trailer is required)

E-mail SDS and tech data to ______________@uop.com

Email invoice to:  PMTUSinvoice981762@honeywell.com

Larry Eberly's cell # 251-680-4653",,,,,,,,2000000.0,2024-01-10T15:50:23.277-05:00,2025-01-08T16:26:39.677-05:00,,,0,0,{}
Thermo Fisher Scientific,0002090,False,Chemicals Inc.,2 Radcliff Road,,Tewksbury,MA,01876,USA,(978) 521-6490,jeff.oconnor@alfa.com,,1,AR30,C,0000,,100,,,,,,,,"UPS Acct: 015096
FedEx Acct: 131930984

Certificate of Origin required with all shipments

PO Number must be on all shipping documents and labels

Tech data must state the following:  
This material is chemically synthesized
Country of Origin: USA

All pr",,,"1/20/17  emailed 525044, 525055, 524989 to 
                alfaaesar.accounting@thermofisher.com.  will follow up later w/ Eunice
                eunice.valdez@alfa.com
5/3/18 Sent several past due invoices to alfaaesar.Accounting@thermofisher.com

4/25/17  emailed 528652 to alfaaesar.accounting
10/20/17  emailed 540235  to alfaaesar.accounting@thermofisher.com
10/24/17  rec'd reply that invoice was being processed
12/15/17  emailed 541907 to alfaaesar.accounting

3/5/18   emailed 545108 to alfaaesar.accounting
5/3/18    emailed invoices  to Bryan DaSilva bryan.dasilva@thermofisher.com
              Accounts Payable Representative II 546318 548859 549552 549233    
              5466448
6/17/19  contacted  bryan.dasilva@thermofisher.com because TF skipped over                         paying 2 invoices 565788 566228
6/17/19   Also contacted alfaaesar.accountspay@thermofisher.com
6/18/19    Sent email to maria.amaral@thermofisher.com to see if she could help. 
                The payments are not late they simply skipped over paying older invoices.
6/18/19  Heard back from Maria as well as angela.page@thermofisher.com who 
                said they have the invoices and they will be paid on the next payment run
8/26/19  contacted alfaaesar.accountspay@thermofisher.com about past due.
8/28/19  contacted maria.amaral@thermofisher.com 
8/28/19  angela.page@thermofisher.com stated the ACH will  be paid this week.
8/29/19   contacted angela page about unpaid invoice 567471 she said it was going
                to be paid in August. I don't see the payment
9/4/19  contacting angela about payment not arriving
9/5/19   received a email from Christine Petrillo 978-513-3788. She said the prior AP
                person, Angela is no longer with them. Her name is Christine Petrillo  
               christine.petrillo2@thermofisher.com. She said that they will put our invoices
              and 2 other invoices for August in the 9/10/19 check run
9/12/19   Sent email to check and see if they ran our check.

2/7/20  Emailed 568923, 569418, 570958, 572806, 572817, 574522, 575072 to
             Christine per above.  Told her about Product Price Agreement with N30 terms
2/10/20  Forwarded email to Gregory.Harris@thermofisher.com as he has replaced
             Christine.
2/28/20   Sent email to Gregory for remaining 568923, 569418, 570958
3/16/20   Sent email to Gregory with copy of Product Price Agreement.  Greg out
                until 3/23 so forwarded to Patti.Ranta@thermofisher.com
4/23/20   emailed 577921, 577954, 578680 to Gregory.  Marci Perkins said to email
               all invoices to AlfaAesar.accountspay@ThermoFisher.com
6/30/20  emailed 580418, 580440, 580781, 580924 to AP
8/19/20  emailed 580781, 581837, 583003, 581727 to AP.  Copied Elizabeth Riser
                who is listed as buyer on Price Agreement
8/20/20  Marci said the 4 invoices would pay today
9/14/20  emailed 583696 to AP.
10/27/20  emailed 584235, 584565 to AP
06/18/21 emailed 585588,585610,586303,588294,589405 & 590010 to ap
08/23/21 emailed 592771,593838&594784 to AP
12/20/21 emailed 599107 to ap
2/14/22 emailed ap ref 600999
2/23/22 emailed ap ref 601516,601593,601626,601692
5/16/22 emailed ap ref 603991 & 604189
6/17/22 emailed ap ref 606048 & 606543
2/2/23 emailed ap ref 615222 & 616025
2/2/23 Thermo fisher responded, we sent invoice to germany location email, instead of the Ward Hill. Sent to correct email 
3/7/23 emailed ap ref 616025 & 617499
3/29/23 emailed ap ref 618082
5/8/23 emailed ap red 620579
10/23/23 emailed ap ref 626090
C/A's not required.  11/6/2012 - I-Toland
      
UPS Acct: 015096
FedEx Acct: 131930984

Certificate of Origin required with all shipments

PO Number must be on all shipping documents and labels

Tech data must state the following:  
This material is chemically synthesized
Country of Origin: USA

All products must have the following marked on the inner labels and outer packaging:
Country of Origin: USA

Email invoice to alf",,,,,,,,40000.0,2024-01-10T15:50:24.01-05:00,2025-01-08T16:26:39.723-05:00,,,0,0,{}
"Del Amo Chemical Co., Inc.",0002110,True,535 W. 152nd Street,,,Gardena,CA,90248,,(310) 532-9214,,,1,AR10,C,0000,,100,,,,,,,,"UPS Acct. No. 971-507

FedEx Freight Acct. No. 84374157",,,"UPS Acct. No. 971-507

FedEx Freight Acct. No. 84374157",,,,,,,,1000.0,2024-01-10T15:50:24.71-05:00,2025-01-08T16:26:39.77-05:00,,,0,0,{}
Rossi Glass,0002530,True,Pyramid Place,5400 Robinson Street,Niagara Falls,Ontario,.,L2G 2A6,CAN,(905)371-3338,,,1,AR03,C,0000,,100,,,,,,,,,,,,,,,,,,,0.0,2024-01-10T15:50:25.39-05:00,2024-01-10T15:50:25.39-05:00,,,0,0,{}
Southwest Research Institute,0002620,False,P.O. Box 28510,,,San Antonio,TX,78228,USA,(210) 522-3859,,,1,AR30,C,0000,,100,,,,,,,,"UPS Acct No 752-709
UPS Freight Acct No 29874703

Include the date of manufacture, the inspect/retest date on the tech data

Email the invoice to ap@swri.org.

SALES TEAM: READ THE TERMS/CONDITIONS ON THE PO. WE DO NOT ACCEPT ALL AND THEREFORE PO MUST BE",,,"12/16/10  emailed 406369 to Mike Jordan as this was a verbal purchase.       
2/14/11  Sent email to Melissa Morales re date when this will be paid.   
2/24/11  Sent email to Melissa & Mike re 406369.   Melissa had responded but emails
                were rec'd as junk mail.  Faxed inv to her & she will pay.     
7/9/11 Sent an email to ap@swri.org concerning their payment today. They paid for an older invoice and did not pay the more recent one.
UPS Acct No 752-709
UPS Freight Acct No 29874703

Include the date of manufacture, the inspect/retest date on the tech data

Email the invoice to ap@swri.org.

SALES TEAM: READ THE TERMS/CONDITIONS ON THE PO. WE DO NOT ACCEPT ALL AND THEREFORE PO MUST BE REVISED TO OMIT THE ONES WE DO NOT ACCEPT. N.S   05/03/2017
Take exception to:  [Q66QS]",,,,,,,,5000.0,2024-01-10T15:50:26.157-05:00,2025-01-08T16:26:39.817-05:00,,,0,0,{}
"Jafe Decorating Co., Inc.",0003140,False,1250 Martin Street,,,Greenville,OH,45331,,(937)547-1888,,,1,AR10,C,0000,,100,,,,,,,,"FedEx Acct No.: 155421320
UPS Acct No.:  488165
                                             
PO No must be on packages and all shipping documents",,,"FedEx Acct No.: 155421320
UPS Acct No.:  488165
                                             
PO No must be on packages and all shipping documents",,,,,,,,2000.0,2024-01-10T15:50:26.917-05:00,2025-01-08T16:26:39.863-05:00,,,0,0,{}
