OrderNumber,OrderStatus,CustomerNumber,CustomerName,OrderDate,ShipDate,PromisedDate,Closed,CreditHold,OnHold,BlanketOrder,Amount,OrderType,CustomerPurchaseOrderNumber,SalesAgent,Division,Warehouse,TaxCode,ShipperID,Attention,FOB,FreightOption,FreightAmount,FreightCost,Email,FreeField1,FreeField2,OrderRemarks,InternalRemarks,OrderRemark3,OrderRemark4,ShipToSequence,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToZip,ShipToCountry,Phone,ShipFromName,ShipFromAddress1,ShipFromAddress2,ShipFromAddress3,ShipFromCity,ShipFromState,ShipFromZip,ShipFromCountry,MiscCharge1,MiscCharge1GL,MiscCharge1Reason,MiscCharge1Tax,MiscCharge2,MiscCharge2GL,MiscCharge2Reason,MiscCharge2Tax,MiscCharge3,MiscCharge3GL,MiscCharge3Reason,MiscCharge3Tax,MiscCharge4,MiscCharge4GL,MiscCharge4Reason,MiscCharge4Tax,NumberOfPallets,ShippingZone,Truck,TruckRunId,TruckRunDate,StopNumber,StandingOrderRelease,ExternalTracking,CreateDate,UpdateDate,items,CustomFields,Month,Week
900001,Entered,0012063,HACH Company,2024-08-01 04:00:00,2024-12-02T00:00:00-05:00,2024-09-03T00:00:00-04:00,True,False,False,True,13507.2,1,673997,0010,1,1,100,FEDEX FRT PRIOR,SHAUNNA,ExWorks San Antonio,COLLECT,,,,,,,"SAGE SO 0877827

THIS IS A BLANKET ORDER 
Releases to be made by customer as needed 
Blanket order to be completed by February 2025.

Code 90284 - Sodium Cyanide - 2 Kg units

ALWAYS okay to ship early unless otherwise notified for end of year purchases

Do not declare or insure any shipment. HACH is self-insured.

All shipping documents and product labels must contain PO Number 673997

Email tracking number to David Moore at damoore@hach.com

Email invoice to accountspayable@hach.com and damoore@hach.com

Send TDS to damoore@hach.com and Dennis Mokaya at dmokaya@hach.com",,,-1,HACH Company,PO Box 389,,,Loveland,CO,80539,USA,(970) 669-3050,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-03T14:43:34.003-04:00,2024-12-16T16:23:25-05:00,[],{},2024-08-01,2024-07-29
900002,Entered,0005026,"Brenntag Mid-South, Inc.",2023-11-14 05:00:00,2024-09-03T00:00:00-04:00,2024-09-03T00:00:00-04:00,True,False,False,False,15205.68,1,378791,0019,1,1,100,R & L CARRIERS,,"San Antonio, TX",COLLECT,,,,,,,"SAGE SO 0867685

SPECIAL INSTRUCTIONS:

Ship only one lot per release

List Brenntag's product no/code under product description

Tech data must Include date of manufacture

Email tracking number to Kristan Crook at kcrook@brenntag.com 

Email tech data sheet to coams@brenntag.com

Email invoice to mid-southapinvoice@brenntag.com",,,-2,BMS Miami (S),8700 Northwest 36th Ave.,,,Miami,FL,33147,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-03T15:09:52.32-04:00,2024-09-03T16:54:35.953-04:00,[],{},2023-11-01,2023-11-13
900003,Entered,0012063,HACH Company,2024-09-03 04:00:00,2024-09-03T00:00:00-04:00,2024-09-03T00:00:00-04:00,True,True,False,False,13507.2,1,673997,0010,1,1,100,FEDEX FRT PRIOR,SHAUNNA,ExWorks San Antonio,COLLECT,,,,,,,"SAGE SO 0877827

THIS IS A BLANKET ORDER 
Releases to be made by customer as needed 
Blanket order to be completed by February 2025.

Code 90284 - Sodium Cyanide - 2 Kg units

ALWAYS okay to ship early unless otherwise notified for end of year purchases

Do not declare or insure any shipment. HACH is self-insured.

All shipping documents and product labels must contain PO Number 673997

Email tracking number to David Moore at damoore@hach.com

Email invoice to accountspayable@hach.com and damoore@hach.com

Send TDS to damoore@hach.com and Dennis Mokaya at dmokaya@hach.com",,,-1,HACH Company,PO Box 389,,,Loveland,CO,80539,USA,(970) 669-3050,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-03T15:51:09.493-04:00,2024-09-03T17:53:58.22-04:00,[],{},2024-09-01,2024-09-02
900004,Entered,0012063,HACH Company,2024-09-03 04:00:00,2024-09-03T00:00:00-04:00,2024-09-03T00:00:00-04:00,True,True,True,False,13507.2,1,673997,0010,1,1,100,FEDEX FRT PRIOR,SHAUNNA,ExWorks San Antonio,COLLECT,,,,,,,"SAGE SO 0877827

THIS IS A BLANKET ORDER 
Releases to be made by customer as needed 
Blanket order to be completed by February 2025.

Code 90284 - Sodium Cyanide - 2 Kg units

ALWAYS okay to ship early unless otherwise notified for end of year purchases

Do not declare or insure any shipment. HACH is self-insured.

All shipping documents and product labels must contain PO Number 673997

Email tracking number to David Moore at damoore@hach.com

Email invoice to accountspayable@hach.com and damoore@hach.com

Send TDS to damoore@hach.com and Dennis Mokaya at dmokaya@hach.com",,,-1,HACH Company,PO Box 389,,,Loveland,CO,80539,USA,(970) 669-3050,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-03T16:06:31.88-04:00,2024-09-03T17:19:40-04:00,[],{},2024-09-01,2024-09-02
900005,Entered,0012958,Verily Life Sciences,2024-04-30 04:00:00,2024-09-03T00:00:00-04:00,2024-09-03T00:00:00-04:00,True,True,False,False,1642.4016,1,4100019412,0006,1,1,100,FEDEX GROUND,Craig Eldershaw,EXW - San Antonio TX,,,,,,,,"SAGE SO 0874263

SPECIAL INSTRUCTIONS:

FedEx Acct No. 692904281

Email shipping notifications before sending material to Joohm@verily.com

Email invoices to accountspayable@verily.com",,,-1,Verily Life Sciences,269 East Grand Avenue,,,South San Francisco,CA,94080,USA,(650) 278-3708,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-03T16:17:50.153-04:00,2024-09-03T17:05:45.327-04:00,[],{},2024-04-01,2024-04-29
900006,Entered,0012132,E. W. Abrahams & Sons Ltd.,2024-09-03 04:00:00,2024-09-03T00:00:00-04:00,2024-09-03T00:00:00-04:00,True,True,False,False,11773.4925,1,NC-16,0012,1,1,100,SEA FREIGHT,,ExWorks San Antonio,COLLECT,,,e.w.abrahams@gmail.com,,,,"SAGE SO 0876386

SPECIAL INSTRUCTIONS:

Contact forwarder for shipping instructions:
Norchem Industrial
norchemindustrial@gmail.com
John Chambers
(954) 303-7681",,,-1,E. W. Abrahams & Sons Ltd.,35 Hagley Park Road,Kingston 10,"Jamaica, W.I",.,.,.,,(876) 968-8406,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-03T16:41:06.583-04:00,2024-09-03T17:10:53.997-04:00,[],{},2024-09-01,2024-09-02
900007,Entered,0011342,"B3 Systems, Inc.",2024-01-31 05:00:00,2024-09-03T00:00:00-04:00,2024-09-03T00:00:00-04:00,True,True,False,False,1500.0,1,Email Approval,0006,1,1,100,,,"San Antonio, TX",,,,robert@b3systems.com,,,,"SAGE SO 0870215

SPECIAL INSTRUCTIONS:

Email invoice to robert@b3systems.com",,,-1,"B3 Systems, Inc.",3208-106 Spottswood St.,,,Raleigh,NC,27615,USA,(919) 790-9090,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,1500,4100,"Storage fees for material procured for B3 Systems, P.O. 2021013.03 from July 2024 through September 2024",N,,,,,,,,,,,,,,,,,,0,False,,2024-09-03T16:48:42.913-04:00,2024-09-04T09:39:12.067-04:00,[],{},2024-01-01,2024-01-29
900008,Entered,0014195,Superior Technical Ceramics Co,2024-08-08 04:00:00,2024-09-04T00:00:00-04:00,2024-09-04T00:00:00-04:00,True,False,False,False,1828.5,1,P24-2531 REV. B,00,1,1,100,UPS NEXT DAY,,ExWorks San Antonio,COLLECT,,,,,,Part No. RM-MagHyd,"SPECIAL INSTRUCTIONS:

Unless otherwise noted, all inbound shipments to Superior Technical Ceramics Corporation must be shipped UPS collect to our UPS account number 023-609.

COA and SDS required with shipment

All pack lists must include HTS or Schedule B code and Country of Origin (COO) for each item purchased

Purchase Order Number P24-2531 REV. B, Item Number RM-MagHyd and Description need to be on the Pack List and Bill of Lading

All containers and pack lists must be marked with lot # and expiration date

Certificate of Conformance, inspection data sheet and material traceability required with shipment, where appropriate.

Please send all invoices to accounting@ceramics.net",,,-1,Superior Technical Ceramics Co,600 Industrial Park Road,,,Saint Albans,VT,05478,USA,(802) 527-7726,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-04T13:00:15.71-04:00,2024-09-04T16:42:30.11-04:00,[],{},2024-08-01,2024-08-05
900009,Entered,0010886,"Olin Winchester, LLC",2023-12-01 05:00:00,2024-12-23T00:00:00-05:00,2024-12-23T00:00:00-05:00,True,False,False,False,35521.2,1,4500486233,0006,1,1,100,OLD DOMINION,,Ex Works,COLLECT,,,cmosmoe@olin.com,,,SAGE Order No. 0870358// Release 4,"Release 4

Pack in 110 lb drums 

Email invoice to:  olinap@olin.com 

Preferred carrier is:  Old Dominion

PO No. and Part No. E127506 must be on all paperwork including B/L

Email a copy of the tech data to:
Carmen DeBlass:  csdeblass@olin.com
Bill Fuller:  WLFuller@olin.com
Greg Best:  GCBest@olin.com
Marla Riley:  MVRiley@olin.com

A copy does not need to go with the shipment.",,,5,"Olin Winchester, LLC",Attn: Accounts Payable,"411 , Country Road 101",,Oxford,MS,38655,USA,(618) 258-3285,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-04T16:25:15.12-04:00,2024-12-23T16:57:00.923-05:00,[],{},2023-12-01,2023-11-27
900010,Entered,0014175,Reagents Holdings LLC,2024-09-04 04:00:00,2024-09-05T00:00:00-04:00,2024-09-05T00:00:00-04:00,True,True,False,False,2316.676,1,08-10552-0,0012,1,1,100,FEDEX FRT ECO,,Incoterms,COLLECT,,,,,,,"FedEx Freight Acct No: 109588504

Ship the TDS and SDS with shipment 

Product must have 75% remaining shelf life upon shipping

Certificate of Compliance required

Email invoice to ap@reagents.com

All palets used must conform to IPPC regulations.",,,-1,Reagents Holdings LLC,PO Box 778,,,Belmont,NC,28012,USA,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-05T10:30:51.977-04:00,2024-09-06T09:15:48.583-04:00,[],{},2024-09-01,2024-09-02
